Review,Annotator_Sakib,Annotator_Sabbir,Annotator_Talha,Sentiment
আলহামদুলিল্লাহ্ ভালো তবে একটা কথা না বললেই নয়ে এক বেক্তির একাদিক মাল থাকলে ডেলিবাড়ি চার্জ একসাথে আরো কিছু কমাই করা যায়কিনা একটু দেকবেন,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"সত্যিই খুব ভালো প্রডাক্ট, lotto এর শোরুম থেকেই দিছে। আর সাথে একটা সুন্দর ব্যাগ দিছে। ডেলিভারি ও খুব তারাতারি দিছে আর সেলারের কথা কি বলব উনি খুবই ভালো মানুষ",StronglyPositive,StronglyPositive,StronglyPositive,
"আলহামদুলিল্লাহ প্রডাক্টটি ভালো ভাবেই পেয়েছি। জুতাটি অনেক সুন্দর হয়েছে। পায়ে একদম পারফেক্ট হয়েছে। আর দেখতে অনেক গর্জিয়াস। আমি অনেক খুশি দারাজ থেকে জুতাটি পারসেস করে। সত্যি বলতে জুতাটি অনেক সফ্ট, পরতে অনেক আরাম আছে।। ধন্যবাদ সেলার ভাইকে এই প্রাইজে এতো সুন্দর প্রডাক্টটি দেওয়ার জন্য। অনেক ফাষ্ট ডেলিভারি পেয়েছি ধন্যবাদ দারাজকে।।",StronglyPositive,StronglyPositive,StronglyPositive,
"কোয়ালিটির কথা যদি বলি তাহলে 390 টাকা অনুযায়ী ঠিক আছে। দেখা যাক কত দিন টিকে, মোটামুটি হেভি ইউস করলে দুই-আড়াই মাস যেতে পারে। তবে বাজেট থাকলে মার্কেটে হাজার-বারোশ টাকায় মোটামুটি মানের যে লেদারের জুতো পাওয়া যায় সেটা নিতে বলবো। আর কিছুদিন চলার জন্য হলে এটা নিতে পারেন। দারাজে অন্যান্য সেলার-রা ৪২০-৪৫০ টাকায় যে প্রোডাক্ট সেল করছে, আর 390 টাকার এই প্রোডাক্টের মধ্যে কোনো পার্থাক্য নাই।",SlightlyNegative,Neutral,Neutral,
Daraz এর প্রতি ভালোবাসা টা আরো বেড়ে গেলো যতোই অর্ডার করছি আলহামদুলিল্লাহ ভালোই প্রোডাক্ট পাচ্ছি. Daraz এগিয়ে যাক.,StronglyPositive,StronglyPositive,StronglyPositive,
"আলহামদুলিল্লাহ সত্যিই অনেক সুন্দর হইচে এই দামে এতো সুন্দর লোফার সুজ, আমি খুবই খুসি হইছি, যে কেউ নিতে পারেন ভালো জিনিস,সেলার ভাইয়াকে অনেক ধন্যবাদ দোয়া করি সততার সঙ্গে বাবসায় এগিয়ে জান।",StronglyPositive,StronglyPositive,StronglyPositive,
ভাই আমি জুতাগুলা যেরকম অর্ডার দিয়েছি এরকম না একদম বাজে ছিল,Negative,StronglyNegative,StronglyNegative,
"দারাজ একটা মাদারচোদ app, RedX তো বড় মাদারচোদ,তার ডেলিভারি ম্যান আরেক বাইনচোদ😡তার উপর জুতার সাইজ নাই ঠিক",StronglyNegative,StronglyNegative,StronglyNegative,
"প্যাকেজিং একেবারেই বাজে,,,,, বাট জুতোগুলো অনেক ভালো 306 টাকায় আমি ভালো জুতো পেয়েছি,,,",Positive,Positive,Positive,
খুব সুন্দর একটা প্রোডাক্ট আমি যেমনটা চেয়েছিলাম ঠিক তেমনটাই হয়েছে এবং ডেলিভারি ম্যান ও খুব ভালো এক কথায় জিনিসটা খুবই সুন্দর,Positive,Positive,Positive,
দেখতে ভালো মনে হয় দেখা যাক কেমন টেকসই হয়,Positive,Positive,Positive,
অসাধারণ।দাম অনুসারে অনেক ভালো পণ্য।,StronglyPositive,StronglyPositive,StronglyPositive,
দারাজে প্রথম অর্ডার করলাম আলহামদুলিল্লাহ অনেক সুন্দর হয়েছে ধন্যবাদ দারাজ কে ❤️,StronglyPositive,StronglyPositive,StronglyPositive,
"ড্রেস টা অনেক সুন্দর , কাপড়টা লিনেন হওয়ায় পার্টি কুবে ই আরাম , নিতে পারেন",Positive,Positive,Positive,
ছবিতে দেখলাম জরজেট আর পেলাম সুতি মোটামুটি ভালো!,Positive,SlightlyPositive,SlightlyPositive,
"অনেকের মধ্য রিয়েল সেলার খুজে পাওয়া কষ্ট কর, এটি রিয়েল সেলার, কাপড় গুলো অনেক ভালো আরামদায়ক, আমি হ্যাপি আপনরা নিতে পারেন Thanks",StronglyPositive,StronglyPositive,StronglyPositive,
লিনেনের বদলে দিলেন পলেষ্টার। এইটা কি ধরনের চিটারি? তারপর আবার কালার দেখালেন একরকম দিলেন আর একরকম। এভাবে মানুষকে ঠকালে আস্থার সংকট হবে। এ ধরনের ধান্দাবাজ ব্যবসাদারদের থেকে দারাজ দূরে থাকলে ভাল হয়।,Negative,Negative,Negative,
যেমন দেখানো হয়েছিল তেমনি পেয়েছি ধন্যবাদ ভাইকে,Positive,Positive,Positive,
মোটামুটি ভালো তবে আহামরি কিছু না,Neutral,Neutral,Neutral,
"পরিবারের সকলের জন্য দারাজে প্রথমবার এতগুলো অর্ডার এক সাথে করেছি, আলহামদুলিল্লাহ আমি প্রোডাক্টগুলো হাতে পেয়ে অনেক খুশি হয়েছি, ঠিক যেমনটা চেয়েছি তেমনটাই পেয়েছি ধন্যবাদ দারাজ ও AMR Clothing Store এর সেলারদেরকে 😍😍আমি অনেক খুশি হয়েছি তাই সুন্দর একটা রিভিউ দিলাম😍",StronglyPositive,StronglyPositive,StronglyPositive,
"এই জামা আগে একটা নিসি এখন আরেকটা অডার করেসি, এক কতা জামাটা অনেক বালো,কিন্তু একটা সমস্যা হইসে জামার গলা অনেক ছোট্ট",Neutral,Neutral,Neutral,
আলহামদুলিল্লাহ... যেমনটা চেয়েছিলাম ঠিক তেমনটাই পেয়েছি... ধন্যবাদ সেলার এবং দারাজকে,Positive,StronglyPositive,StronglyPositive,
মনের মত হয়েছে পরনে টিকটাক মত হয়েছে আলহামদুলিল্লাহ,Positive,Positive,Positive,
"ধন্যবাদ দারাজকে এতো সুন্দর জামাটা দেয়ার জন্য,অডার দেয়ার ২ দিন এর বিতরে জামাটা হাতে পেয়েগেসি,,,,?",Positive,Positive,Positive,
বলা হয়েছে লিলেন কাপর কিন্তু এটা সাধারণ সুতি কাপর লিলেন নয় তবে মান ভালো চাইলে নিতে পারেন,Neutral,Neutral,Neutral,
খুবই ভালো! ধন্যবাদ দারাজ কে।,Positive,Positive,Positive,
"এই অবস্থা, ফেরত দিতে হবে ! আমি darazer আইটেম কখনো রিটার্ন করিনি but এই সেলার এর বাজে আইটেম গুলো রিটার্ন না করে কোনো উপায় নাই !",Negative,Negative,Negative,
অনেক সুন্দর ড্রেস পেয়েছি। দাম অনুপাতে যথেষ্ট ভাল। ধন্যবাদ সেলারকে। আশাকরি আপনারা আপনাদের প্রতি ক্রেতাদের আস্থা বজায় রাখবেন।,Positive,Positive,Positive,
"মনে করলমা এতোকমদামে কম্পিউটারের কাজ করা ছবিদেওয়া৷ হয়তো ছবি যা দেখাইলো হয়তো তা দিতে পারবেনা৷ হয়তো বাজে কোন পণ্য পাঠিয়ে দিবে, কিন্তু হাতে পেয়ে অনেক খুশি হলাম।",SlightlyPositive,SlightlyPositive,SlightlyPositive,
এতো কম দামে কিভাবে সম্বভ। দাম হিিসেবে পণ্যটা অনেক ভালো হয়েছে ধন্যবাদ দারাজ এবং সেলারকে কম দামের মাঝে এতো সুন্দর দেওয়ার জন্য।,Positive,Positive,Positive,
"আমি কতৃপক্ষের দৃষ্টি আকর্ষণ করছি, আমি ওনার সাথে কথা বলে, বিকাশ এ পেমেন্ট করছি,উনি বললেন ভালো টাই দেবেন,এ ছেড়া জায়গাটা একদম বুকের উপর, এখনে সেলাই বা রিপু করাও সম্ভব নয়, দেখতে খারাপ লাগবে, ওনাকে তারপর থেকে ম্যাসেজ করলাম,উনি আর রিপ্লাই দেন নি, বিষয় টি অত্যন্ত দুঃখজনক, ফাস্ট টাইম দারাজ এমন প্রতারিত হলাম।",StronglyNegative,StronglyNegative,StronglyNegative,
আমি অর্ডার করেছি পিত কালার আর আমাকে দেওয়া হয়েছে খয়রি কালার তার পরে কাপর তাও অনেক থ্রার্ড ক্লাস দারাজ কোম্পানির অপর অনেক বিশ্বাস ছিলো কিন্তু তারা যে এইরকম করে প্রতারণা করবে তা কখনো আশা করিনি,Negative,Negative,Negative,
ভাইয়া এই থি পিচ টা ভালো না রিটান নিয়ে জান,Negative,Negative,Negative,
দুইটা থ্রিপিস অর্ডার করছি একটা আসছে বিল নিছে দুইটার। এটা তো খুবই খারাপ। এটা সমাধান কি কেউ একটু বলবেন,Negative,Negative,Negative,
একদুম বাজে একটা কাপোর এবারের ঈদের আনন্দটায় নষ্ট কোরে দিয়েছে। কেও টাকা নষ্ট না কোরতে চায়লে এটা কিনবেন না।,Negative,Negative,Negative,
ভালো ভালো রিভিউ দেখে অর্ডার করলাম। কিন্তু এত বাজে কাপড় দিবে ভাবতেও পারিনি। কাপড় দেখে মনে হচ্ছে সেলাই করলে সেলাইয়ের মজুরী টাকা বৃথা যাবে।এখন কি করব আপনারাই বলেন।,Negative,Negative,Negative,
"আলহামদুলিল্লাহ,,দাম হিসেবে প্রোডাক্টটি ভালোই ছিল,,,,সেলার এর ব্যবহার ও সন্তুসজনক।। সঠিক সময়ে সঠিক পণ্যটি দেওয়ায় অসংখ্য ধন্যবাদ। তবে ছবিতে কালার এডিট টা কম করা হলে ভাল হত।",Positive,Positive,Positive,
আসসালামু আলাইকুম থ্রি পিস কিনে ধরা খেয়েছি যা বলে শেষ করা যাবেনা থ্রি পিস পরার উপযুক্ত নয় কারণ হলো কাপুড় একেবারে খারাপ ছবির সাথে বাস্তবে কোন মিল নেই এইধরনের খারাপ থ্রি পিস দারাজ থেকে আশা করিনি।,Negative,Negative,Negative,
বাজে একটা জামা দিছে জেটা চাইছি সেটা না দিয়ে বাজে একটা গাউন দিয়া দিছে,Negative,Negative,Negative,
দাম হিসাবে ভালো পণ্য। এই দামে এর ছেয়ে উন্নত মানের পাওয়া সম্ভবনা।,SlightlyPositive,SlightlyPositive,SlightlyPositive,
"আমি এই প্রোডাক্ট নেবনা,ফেরত দিতে চাই। কিভাবে ফেরত দেব?",Negative,Negative,Negative,
"জামা টা মোটামুটি চলে।তবে অরনা, সেলোয়ারের কাপড় খুবি ছোট।",SlightlyNegative,SlightlyNegative,SlightlyNegative,
কেউ যেন আর থ্রীপিচ না কেনে একেবারে বাজে জিনিষ,Negative,Negative,Negative,
ছবিতে যতটা সুন্দর বাস্তবে অত সুন্দর লাগে না,SlightlyNegative,SlightlyNegative,SlightlyNegative,
আলহামদুলিল্লাহ দাম হিসাবে খারাপ না ।।খুশি।।,Positive,Positive,Positive,
আমার এই মালটা রিজেক্ট মালটা রিটার্ন,Negative,Negative,Negative,
ওকে ঠিকঠাক মতো পেয়েছি,Neutral,Neutral,Neutral,
একদম বাজে কেউ কিনবেন না,Negative,Negative,Negative,
ভাল না,Negative,Negative,Negative,
এত সুন্দর হয়েছে ড্রেসটা কি আর বলবো 🥰🥰🥰🥰 কম দামের মধ্যে ড্রেসটা অনেক ভালো হয়েছে 🥰🥰আপনারা চাইলে নিঃসন্দেহে নিতে পারেন 🥰🥰ড্রেসটা অনেক ভালো ছিল আর সেলার ভাইয়া এটা তো আরো অনেক ভালো ছিল😍😍ধন্যবাদ।,Positive,Positive,Positive,
যেমন চেয়েছি তেমনি পাইছি ধন্যবাদ দারাজ কে☺️🥰,Positive,Positive,Positive,
আজ প্রডাক্টা হাতে পেলাম যেমনটা দেকছি টিক তেমনটা পাইছি সেলার ভাইয়াটা অনেক ভালোছিল তার ববহারটা অনেক ভালো tnx daraz and selar আগামীতে আর আনব,Positive,Positive,Positive,
যেমন মন চেয়েছি ঠিক তেমন পেয়েছি আলহামদুলিল্লাহ 😊 আপনারা চাইলে নিতে পারেন😍,Positive,StronglyPositive,StronglyPositive,
ড্রেসটি ত্রুটিপূর্ণ এটা রিটার্ন দিতে চাই। সেলারকে জানিয়েছি তারা রিটার্ণ দিতে বলেছে।,Negative,Negative,Negative,
আলহামদুলিল্লাহ খুবই ভালো,Positive,Positive,Positive,
আলহামদুলিল্লাহ কাপড়টা ভালো পেয়েছি,Positive,Positive,Positive,
ভালো পরে নাই জিরা পরছে 😡😡😡😡😡😡,Negative,Negative,Negative,
"যেমনটা চেয়েছি ঠিক তেমনটাই পেয়েছি,,,",Neutral,Neutral,Neutral,
যেমন চেয়েছি তেমন পেয়েছি,Positive,Positive,Positive,
ভালো ছিলো❤️,Positive,Positive,Positive,
মোটামুটি বলা যায়। জরজেট তো টাকা হিসেবে ঠিক আছে। বিশেষ করে কালোটা ভালো লাগে। অন্য কালার গুলো একটু কম দামী লাগে,Positive,Positive,Positive,
আলহামদুলিল্লাহ পার্সেল টা হাতে পেয়েছি দাম অনুযায়ী ঠিক আছে তবে সবচেয়ে ভালো লাগছে ছেলার ভাইয়ের ব্যবহার চাইলে আপনারাও নিতে পারেন,Positive,StronglyPositive,StronglyPositive,
একদম ভালো নাহ্...এতো করে বলার পর ও খারাপ জিনিস দিছে.. বাসায় আম্মুর বকুনি শুনতে হচ্ছে... প্রোডাক্ট টা সন্তোষজনক নয়😓,StronglyNegative,StronglyNegative,StronglyNegative,
থ্রি পিস গুলো অনেক সুন্দর ছিল আমি দুইটা কিনছি এত কম দামে কেউ কিনলে কিনতে পারো খুব ভালো প্রোডাক্ট।,StronglyPositive,StronglyPositive,StronglyPositive,
ফালতু কেউ নিবেন না.....আমি ২ টা কিনে ধরা খাইছি.... কুত্তার বাচ্চারা এ ভাবেই মানুষদের ঠকায়।,StronglyNegative,StronglyNegative,StronglyNegative,
"আলহামদুলিল্লাহ, যেমন চেয়েছিলাম তেমনই পেয়েছি,আর ডেলিবার ভাইয়ার ব্যবহার ও মাশাল্লাহ।😄😄",StronglyPositive,StronglyPositive,StronglyPositive,
সাইজে ছোট আর গরমে পরতে গেলে খবর আছে এবং জাগায় জাগায় ডিজাইন খুলে গেছে,Neutral,Neutral,Neutral,
কাপর ভালো কিন্তুু সামনের চেয়ে পিছনের কাপর কম এবং ওড়না ছোট,Neutral,Neutral,Neutral,
অল্প টাকার ভিতরে এই প্রোডাক্ট মোটামুটি ভালো,SlightlyPositive,SlightlyPositive,SlightlyPositive,
দাম অনুযায়ী ভালোই। আপনারা নিতে পারেন।,Positive,Positive,Positive,
মোটামুটি চলে.... নিতে পারেন...থ্যাংকস,SlightlyPositive,SlightlyPositive,SlightlyPositive,
একদম বাজে কোয়ালিটি আমি রিটার্ন করব,Negative,Negative,Negative,
ফালতু। গেদা মানুসের সাইজ।,StronglyNegative,StronglyNegative,StronglyNegative,
কাপড়ের মান খুব বাজে,Negative,Negative,Negative,
ফালতু সেলার,StronglyNegative,StronglyNegative,StronglyNegative,
"ছবির সাথে পন্যের কোন মিল নাই,সেলাই এর অবস্থা জঘন্য। কালার দেখায় একটা আর দিয়েছে আরেকটা। বলার পর বলে ছবিতে লাইট ডিপ থাকে। বললাম নিজ খরচে আপনার অফিস থেকে চেঞ্জ করে নিতে রাজি তাও দিলো না। কথা মিষ্টি কিন্তু কাজে তিতা।স্টকে নাই তাই এটা দিয়েছে।আমাকে জানালে আমি ক্যান্সেল করে দিতাম।",StronglyNegative,StronglyNegative,StronglyNegative,
"ভালো আছে দাম হিসেবে। কাপড়ের মান ও লক সেলাই টা আরেকটু ভালো করলে সুন্দর হবে। আমি আগে একটা নিয়েছি কালো এখন আকেটা নিলাম। ধন্যবাদ, শুভ কামনা রইল।",SlightlyPositive,SlightlyPositive,SlightlyPositive,
তিনটে তিন কালারের পেটিকোট অর্ডার দিয়েছিলাম অনেক ভালো পেয়েছি সবাই নিতে পারেন কোন সমস্যা নেই ছেলার এবং দারাজ কে অনেক অনেক ধন্যবাদ,Positive,Positive,Positive,
দারাজ থেকে অনেক কিছু কিনেছি কিন্তু ১ম কাপড় কিনা নিয়ে চিন্তায় ছিলাম কিন্তু হাতে পেয়ে মনের মতন কাপড় পেয়ে চিন্তা দুর হল । ভালো জিনিস দেবার জন্য এবং মেসেজের উত্তর দিয়ে পছন্দের কালার দেবার জন্য সেলাকে ধন্যবাদ। লক সেলাই টা আরেকটু ভালো করে করবেন আশা করি। দারাজ পরিবার কেও ধন্যবাদ,Positive,Positive,Positive,
আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট পেয়েছি সেলার এবং দারাজ কে ধন্যবাদ ̓̓😍😍😍😍😍,StronglyPositive,StronglyPositive,StronglyPositive,
১৫৫ টাকা হিসেবে খুবই মানসম্মত আর চমৎকার প্রডাক্ট,Positive,Positive,Positive,
দাম অনুযায়ী ভালোই।তবে শুধু পেটিকোট দিছেন।ফিতা দেন নাই।এটা আশা করিনি।,SlightlyPositive,SlightlyPositive,SlightlyPositive,
"অসাধারণ প্রোডাক্ট, ধন্যবাদ দারাজ & সেলার। চাইলে সবাই নিতে পারেন।",StronglyPositive,StronglyPositive,StronglyPositive,
"কাপড় & কোয়ালিটি অনেক ভালো পেয়েছি. আর তাছাড়া যে কালার & সাইজও দিয়েছিলাম, একদমই সেগুলোই পেয়েছি. আর মাত্র ৪ দিন এ পেয়েছি.... থ্যাংক্স সেলার & থ্যাংক্স দারাজ... ভালোবাসা রইলো...",Positive,Positive,Positive,
কাপড় ভালো কিন্তু ফিতা অন্য কালার দিছেন,SlightlyNegative,SlightlyNegative,SlightlyNegative,
হুম পন্যটা ভালো হইছে।,Positive,Positive,Positive,
মোটামুটি ভালো ছিলো,SlightlyPositive,SlightlyPositive,SlightlyPositive,
এক দম বাজে জিনিস,StronglyPositive,StronglyPositive,StronglyPositive,
অসাধারণ পণ্য। কাপড়ের কোয়ালিটি অনেক ভালো। এক ধরনের গ্লেজি ভাব আছে। আবার অর্ডার করব। সেলার কয়েকটি ফিতা বেশি দিয়েছেন। ধন্যবাদ সেলার ও দারাজকে।,Positive,Positive,Positive,
"দুইটা নিয়ে ছিলাম একটার কালারঠিক আছে,আর একটার কালার অন্য রকম দিছে,,কাপড় খুবি হালকা কাপড় নিম্ন মানের ,,আমার ভাল লাগে নি তাই এতদিন রিভুউ দেইনি",Negative,Negative,Negative,
আলহামদুলিল্লাহ।একদম ঘোড়ার বেগে পেয়ে গেছি।☺️🐎🐎🐎🐎আমার বেশ ভালো লেগেছে।প্রথমে দুটো অর্ডার করছি ভালো লাগাতে আরো বেশ কয়কটার অর্ডার করেছি।দারাজের কার্যকলাপ দেখি। সেইলার এর সাথে কথা বলে ভালো লেগেছে অসম্ভব সহযোগিতায় মনভাবসম্পন্ন । ডেলিভারী ম্যান ও অনেক ভালো আলহামদুলিল্লাহ! জাযাক্বাল্লাহ খয়ের দারাজ সেইলার আর ডেলিভারী ম্যানকে।🤲🏿🤲🏿🤲🏿🕋,Positive,Positive,Positive,
"আলহামলিল্লাহ। খুব দ্রুততার সহিত পেয়েছি। দেখে তো ভালোই লেগেছে আলহামদুলিল্লাহ। ব্যবহারের পরে ই , ধোয়ার পর বুঝা যাবে ইনশা আল্লাহ খারাপ হবে নাহ্ মনে হয়। দারাজ, সেলার, আর বিক্রিতাকে আল্লাহ সুবহানা তায়ালা উত্তম বিনিময় দান করুক!",Positive,Positive,Positive,
"সব দিক দিয়েই আমি খুশি সেলারের উপর,,,কারন অনলাইন বাজারে ভাল সেলার পাওয়াটাই দুর্লভ,,,,তাই প্রথমে ধন্যবাদ জানাই সেলার ভাইকে,,,তারপর জানাই দারাজ কর্তৃপক্ষকে এমন ভাল ভাল সেলার নিয়ে আমাদের চাহিদা পুরন করানোর জন্য,,,",StronglyPositive,StronglyPositive,StronglyPositive,
"যেমন টা অর্ডার করেছিলাম ঠিক তেমনটা ই হাতে পেয়েছি। ধন্যবাদ দাড়াজ, সেলার ও ডেলিভারি বয় কে।",Positive,Positive,Positive,
এর থেকে বাজে অভিজ্ঞতা আর নেই। কাপ সেলাই ২ টাই বাজে।এই সেলারের কাছ থেকে কেউ কিনবেন না।,Negative,Negative,Negative,
সাইজ ছোট হচ্ছে আর সিল্ক বলছে কাপড় টা ডেলিভারি পাওয়ার পর দেখলাম কাপড় টা ভালো না,Negative,Negative,Negative,
"মুটামুটি আছে, সেলাই একটুও ভালো না, ওয়ান টাইম হিসেবে নিলে সবাই নিতে পারেন",SlightlyPositive,SlightlyPositive,SlightlyPositive,
এটা টিকনা ভাই এরকম করলে মানুষ আর ওডার করবে না এটা সমপুরন ভাট পারী,Negative,Negative,Negative,
খুবই সুন্দর ছিলো আমি খুশি সবাই নিতে পারেন ধন্যবাদ দারাজ সেলারদের,Positive,Positive,Positive,
ছবির সাথে মিল পেয়েছি....এখন দেখার বিষয় কয়দিন ব্যবহার করতে পারি...,SlightlyPositive,SlightlyPositive,SlightlyPositive,
"ভালো প্রোডাক্ট, সবাই নিতে পারেন",Positive,Positive,Positive,
খুব এ বাজে... ৩ দিন ব্যবহার করছি রং চলে গেছে🙂পানিতে ভিজয়ে না তাও রঙ উঠে গেছে🥲কেউ নিতে তাই বেটার,StronglyNegative,StronglyNegative,StronglyNegative,
আমি ২টা চেইন অর্ডার দিছি আমি ১টা চেইন বাতিল করতে চাই,Neutral,Neutral,Neutral,
আলহামদুলিল্লাহ.. আমার প্রথম বার দারাজ শপিং.. প্রোডাক্টটি ভালো.. সবাই নিতে পারেন,Positive,Positive,Positive,
খুব সুন্দর প্রোডাক্ট গুলি.. চেইনটা অন্যত্র সুন্দর।,StronglyPositive,Positive,Positive,
আলহামদুলিল্লাহ যেমন অর্ডার করছি তেমনি পেয়সে 🥰 ধন্যবাদ🥰,Positive,Positive,Positive,
মোটামুটি ভালো,SlightlyPositive,SlightlyPositive,SlightlyPositive,
এক সামে সামে পেয়েছি...,Neutral,Neutral,Neutral,
একে অপরে সম পেয়েছি...।,Neutral,Neutral,Neutral,
ওহ... অনেক সুন্দর একটি চেইন। পিকচার যত্ন করে দেখতে অনেক সুন্দর। চেইনটি নিয়ে আমি খুব সন্তুষ্ট।,StronglyPositive,StronglyPositive,StronglyPositive,
সত্যি অমন্ত্রণয় দারাজ শপিং.. বিজ্ঞাপন মতো সুন্দর। এবং সবাই নিতে পারেন,Positive,Positive,Positive,
আমি একদিন একটি অর্ডার করেছি পেয়ে গেছি দুইদিন।,Neutral,Neutral,Neutral,
"ভাল না। ননোদিনিদ্র জন্য নিসিলম। আশা করি, তারা লাইক করবে। একটু মন্দ মন্দ ছিলো।",SlightlyNegative,SlightlyNegative,SlightlyNegative,
আলহামদুলিল্লাহ ❤️ অনেক ভালো হয়েছে এবং খুব সুন্দর ছিলো।,Positive,Positive,Positive,
"এটি ও অনেক সুন্দর ছিল, মাশা-আল্লাহ ❤️",Positive,Positive,Positive,
"সব ঠিক ঠাক আছে, শুধু চেইনটি পাতলা।",SlightlyPositive,SlightlyPositive,SlightlyPositive,
ভালো ... প্রয়োজনে সাধারণ। তবে একটু সস্তো মনে হয়। আরেকটু ভালো দেয়া যাত।,SlightlyPositive,SlightlyPositive,SlightlyPositive,
গুনগুন 4/5 আপনারা নিতে পারেন কিন্তু রং উঠে যাচ্ছে এবং মূল্য একটু কম হলে ভালো হতো।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"যেমন চাইয়েছিলাম তেমন পেয়েছি, ধন্যবাদ দারাজ।",Positive,Positive,Positive,
এইডা একটু খারাপ ছিলো।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"আমরা তো এই রিংটি অর্ডার করি নাই। আমরা একটি রিং অর্ডার করেছি এবং আপনারা অন্য টি দিয়েছেন, এটির মতামত দেওয়া হচ্ছে না, খুব ভালো চেক করুন। আমরা এটি আশা করি না।",Negative,Negative,Negative,
ভালো লাগলো..কিন্তু দারাজ থেকে বেশি জিনিস নিয়েছি দেখে আপনারা অনেক কষ্ট দিয়েছেন একসাথে সব দেই ও না...,SlightlyPositive,SlightlyPositive,SlightlyPositive,
রিংটি অসাধারণ ... আমার খুব প্রিয়। আপনাকে ধন্যবাদ সেলার ভাইয়া।,Positive,Positive,Positive,
"4 টি অর্ডার দিলাম, কালো পাথর 1 টি পেলাম না।",SlightlyNegative,SlightlyNegative,SlightlyNegative,
আকা বড় ছোট কোন আঙুল যায় না কি করবো তা,SlightlyNegative,SlightlyNegative,SlightlyNegative,
ভাই চাইসে একটি দিসে আরেকটি ...,SlightlyNegative,SlightlyNegative,SlightlyNegative,
খারাপ অবস্থা,Negative,Negative,Negative,
একটি লিপস্টিক ভাঙ্গা ছিলো ... সামগ্রিক প্যাকেজ তথ্য ঠিক আছে এবং সময়ের আগে বিতরণ করা হয়েছে ... তবে পণ্য বিতরণের সময় যত্ন নেবেন।,Negative,Negative,Negative,
অনক আওয়াসম একটি লিপস্টিক ❤️,Positive,Positive,Positive,
"অনক অনক অন ভালো একটি প্রোডাক্ট, আমার কাছে অনেক ভালো লেগেছে 🥰❤️😌",StronglyPositive,StronglyPositive,StronglyPositive,
একটি ভাঁগা ছিল। কিন্তু রংগুলা ছাপটা।,Negative,Negative,Negative,
বিশেষভাবে রং এবং প্যাকেজিং অনেক ভালো। 😍😍,StronglyPositive,StronglyPositive,StronglyPositive,
"সব ঠিক তাক, যেমন চেয়েছিলাম তেমন পেয়েছি!!",Positive,Positive,Positive,
মন মাতানো দৃষ্টিতে অর্ডার দিয়েছি গভীর রঙ দেখায় অন্য টি।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"খুব ভালো, যেমন অর্ডার দিয়েছি তেমনটি আসছে, 💞",Positive,Positive,Positive,
3টি নিয়ে সব গুলায় বালো সেলো।,Positive,Positive,Positive,
প্রোডাক্ট খুব ভালো ☺️,StronglyPositive,Positive,Positive,
মূল্য হিসেবে ভালো,SlightlyPositive,SlightlyPositive,SlightlyPositive,
ভাঙা ছিলো 😡,Negative,Negative,Negative,
অতটা ভালো না ..,SlightlyNegative,SlightlyNegative,SlightlyNegative,
ভালো ..,Positive,Positive,Positive,
"লিপস্টিক গুলা এতো জোস 😍 4 ঘণ্টায় ও রঙ উঠে না ❤️‍🩹 এই দামে এতো সুন্দর 6 টি লিপস্টিক, সেইটা অবিশ্বাস্য 🥰",StronglyPositive,StronglyPositive,StronglyPositive,
"ওহ হায়, কেমন সুন্দর লিপস্টিক গুলি ... নিশ্চিত হোন নিতে পারেন।",Positive,Positive,Positive,
"আলহামদুলিল্লাহ, সময়ের মধ্যেই প্রোডাক্ট পেয়েছি, এবং লিস্টিক গুলি খুব সুন্দর, সুপার ম্যাট, দীর্ঘস্থায়ী, এই দামে একটি ভাল প্রোডাক্ট পাওয়া ভাবি না..",Positive,StronglyPositive,StronglyPositive,
"প্রোডাক্টটি গোলো ব্যবহার করা ছিলো এবং অনেক মোয়লা ছিলো বিতরে, তাই ফিরে দিতে চাচ্ছি কিন্তু ডেলিভারি বয় আসছে না।",Negative,Negative,Negative,
"সবই ঠিক ছিল, তবে লাস পাউডারটি পড়ে নষ্ট হয়ে গেছে সব মিলিয়ে মোটা মুটি",SlightlyPositive,SlightlyPositive,SlightlyPositive,
কম্বো সেটটি অনেক ভাল,Positive,Positive,Positive,
"খুব ভাল একটি প্রোডাক্ট, আমার খুব পছন্দ হয়েছে, খুব সহজে চোখে অ্যাপ্লাই হয়, ধন্যবাদ দারাজ এবং সেলার ভাইয়া 🥰",StronglyPositive,StronglyPositive,StronglyPositive,
"্যাশটি অনেক সুন্দর, পরাটা অনেক সহজ 🥰🥰🥰",Positive,Positive,Positive,
"আলহামদুলিল্লাহ, আমি যা চাইসিলাম তার সেয়ে অনেক অনেক সুন্দর ও ভাল, সাবাব, এই দামে এই ৬টি প্রোডাক্টটি অনেক ভাল, বাকি সবাইকে বোঝানো যায়।",StronglyPositive,StronglyPositive,StronglyPositive,
"প্যাকেজিং ভালো ছিল, প্রোডাক্টটি ও ভালো ছিল, ব্যবহার করে দেখবো প্রোডাক্টটি কেমন",Positive,Positive,Positive,
